3cpio	0.14.0-1ubuntu1	amd64
adduser	3.153ubuntu1	all
adwaita-icon-theme	50.0-1	all
amd64-microcode	3.20251202.1ubuntu2	amd64
apparmor	5.0.2-0ubuntu1~26.04.1	amd64
apport	2.34.1-0ubuntu0.1	all
apport-core-dump-handler	2.34.1-0ubuntu0.1	all
apport-symptoms	0.25build1	all
appstream	1.1.2-1	amd64
apt	3.2.0	amd64
arping	2.28-1	amd64
at-spi2-common	2.60.4-0ubuntu0.1	all
base-files	14ubuntu6.2	amd64
base-passwd	3.6.8	amd64
bash	5.3-2ubuntu1	amd64
bash-completion	1:2.16.0-8build1	all
bc	1.07.1-4build1	amd64
bcache-tools	1.0.8-5ubuntu1	amd64
bind9-dnsutils	1:9.20.24-1ubuntu0.3	amd64
bind9-host	1:9.20.24-1ubuntu0.3	amd64
bind9-libs	1:9.20.24-1ubuntu0.3	amd64
binfmt-support	2.2.2-8	amd64
binutils	2.46-3ubuntu2	amd64
binutils-common	2.46-3ubuntu2	amd64
binutils-x86-64-linux-gnu	2.46-3ubuntu2	amd64
bolt	0.9.10-1	amd64
bpfcc-tools	0.35.0+ds-1ubuntu2	all
bpftool	7.7.0+7.0.0-31.31	amd64
bpftrace	0.25.0-1ubuntu1	amd64
bsdextrautils	2.41.3-3ubuntu2.2	amd64
bsdutils	1:2.41.3-3ubuntu2.2	amd64
btop	1.4.6-2	amd64
btrfs-progs	6.17.1-1build1	amd64
bubblewrap	0.11.1-1ubuntu0.1	amd64
busybox-initramfs	1:1.37.0-7ubuntu1	amd64
busybox-static	1:1.37.0-7ubuntu1	amd64
bzip2	1.0.8-6ubuntu0.1	amd64
ca-certificates	20260601~26.04.1	all
chrony	4.8-2ubuntu1	amd64
cloud-guest-utils	0.33-1build1	all
cloud-init	26.1-0ubuntu3~26.04.1	all
cloud-init-base	26.1-0ubuntu3~26.04.1	all
cloud-initramfs-copymods	0.58ubuntu	all
cloud-initramfs-dyn-netconf	0.58ubuntu	all
command-not-found	23.04.0build1	all
console-setup	1.237ubuntu3.1	all
console-setup-linux	1.237ubuntu3.1	all
coreutils	9.5-1ubuntu2+0.0.0~ubuntu25	all
coreutils-from-uutils	0.0.0~ubuntu25	all
cpio	2.15+dfsg-2.1ubuntu0.1	amd64
crash	9.0.1+~16.3-1ubuntu1	amd64
cron	3.0pl1-200ubuntu1	amd64
cron-daemon-common	3.0pl1-200ubuntu1	all
cryptsetup	2:2.8.4-1ubuntu4	amd64
cryptsetup-bin	2:2.8.4-1ubuntu4	amd64
curl	8.18.0-1ubuntu2.4	amd64
dash	0.5.12-12ubuntu3	amd64
dbus	1.16.2-2ubuntu4	amd64
dbus-bin	1.16.2-2ubuntu4	amd64
dbus-daemon	1.16.2-2ubuntu4	amd64
dbus-session-bus-common	1.16.2-2ubuntu4	all
dbus-system-bus-common	1.16.2-2ubuntu4	all
dbus-user-session	1.16.2-2ubuntu4	amd64
dconf-gsettings-backend	0.49.0-4	amd64
dconf-service	0.49.0-4	amd64
debconf	1.5.92	all
debconf-i18n	1.5.92	all
debianutils	5.23.2build1	amd64
dhcpcd-base	1:10.3.0-7	amd64
diffutils	1:3.12-1ubuntu0.1	amd64
dirmngr	2.4.8-4ubuntu3.1	amd64
distro-info	1.15	amd64
distro-info-data	0.72-0ubuntu0.26.04.1	all
