acl	2.3.2-2	arm64
adduser	3.153ubuntu1	all
apt	3.2.0	arm64
base-files	14ubuntu6.2	arm64
base-passwd	3.6.8	arm64
bash	5.3-2ubuntu1	arm64
bsdutils	1:2.41.3-3ubuntu2.2	arm64
busybox-static	1:1.37.0-7ubuntu1	arm64
ca-certificates	20260601~26.04.1	all
coreutils	9.5-1ubuntu2+0.0.0~ubuntu25	all
coreutils-from-uutils	0.0.0~ubuntu25	all
curl	8.18.0-1ubuntu2.4	arm64
dash	0.5.12-12ubuntu3	arm64
dbus	1.16.2-2ubuntu4	arm64
dbus-bin	1.16.2-2ubuntu4	arm64
dbus-daemon	1.16.2-2ubuntu4	arm64
dbus-session-bus-common	1.16.2-2ubuntu4	all
dbus-system-bus-common	1.16.2-2ubuntu4	all
debconf	1.5.92	all
debianutils	5.23.2build1	arm64
diffutils	1:3.12-1	arm64
dpkg	1.23.7ubuntu1	arm64
e2fsprogs	1.47.2-3ubuntu4	arm64
ethtool	1:6.19-1	arm64
file	1:5.46-5build2	arm64
findutils	4.10.0-3build2	arm64
gcc-16-base	16-20260322-1ubuntu1	arm64
gnu-coreutils	9.7-3ubuntu2	arm64
gpgv	2.4.8-4ubuntu3	arm64
gpiod	2.2.1-3build1	arm64
grep	3.12-1	arm64
gzip	1.14-1~exp2ubuntu1.1	arm64
hostname	3.25build1	arm64
init-system-helpers	1.69	all
iproute2	6.19.0-1ubuntu1.1	arm64
iputils-ping	3:20250605-1ubuntu1	arm64
kmod	34.2-2ubuntu2	arm64
kvmd-video	4.213-1blikvm1	arm64
kvmd-web	4.213-1blikvm3	arm64
less	668-1build1	arm64
libacl1	2.3.2-2	arm64
libapparmor1	5.0.2-0ubuntu1~26.04.1	arm64
libapt-pkg7.0	3.2.0	arm64
libatomic1	16-20260322-1ubuntu1	arm64
libattr1	1:2.5.2-4	arm64
libaudit-common	1:4.1.2-1build1	all
libaudit1	1:4.1.2-1build1	arm64
libblkid1	2.41.3-3ubuntu2.2	arm64
libbpf1	1:1.6.3-1ubuntu1	arm64
libbrotli1	1.2.0-3build1	arm64
libbsd0	0.12.2-2build2	arm64
libbz2-1.0	1.0.8-6build2	arm64
libc-bin	2.43-2ubuntu2.3	arm64
libc-gconv-modules-extra	2.43-2ubuntu2.3	arm64
libc6	2.43-2ubuntu2.3	arm64
libcap-ng0	0.8.5-4build5	arm64
libcap2	1:2.75-10ubuntu2	arm64
libcap2-bin	1:2.75-10ubuntu2	arm64
libcbor0.10	0.10.2-2ubuntu3	arm64
libcom-err2	1.47.2-3ubuntu4	arm64
libcrypt1	1:4.5.1-1	arm64
libcurl4t64	8.18.0-1ubuntu2.4	arm64
libdb5.3t64	5.3.28+dfsg2-10ubuntu1	arm64
libdbus-1-3	1.16.2-2ubuntu4	arm64
libdebconfclient0	0.280ubuntu1	arm64
libdeflate0	1.23-2ubuntu1	arm64
libedit2	3.1-20251016-1	arm64
libelf1t64	0.194-4	arm64
libevent-2.1-7t64	2.1.12-stable-10ubuntu0.1	arm64
libevent-core-2.1-7t64	2.1.12-stable-10ubuntu0.1	arm64
libevent-pthreads-2.1-7t64	2.1.12-stable-10ubuntu0.1	arm64
libexpat1	2.7.4-1	arm64
libext2fs2t64	1.47.2-3ubuntu4	arm64
libffi8	3.5.2-4	arm64
libfido2-1	1.16.0-2build1	arm64
libfreetype6	2.14.2+dfsg-1ubuntu0.1	arm64
libfribidi0	1.0.16-5	arm64
libgcc-s1	16-20260322-1ubuntu1	arm64
libgcrypt20	1.12.0-2ubuntu1	arm64
libglib2.0-0t64	2.88.0-1	arm64
libgmp10	2:6.3.0+dfsg-5ubuntu2	arm64
libgnutls30t64	3.8.12-2ubuntu1.1	arm64
libgpg-error0	1.58-2	arm64
libgpiod3	2.2.1-3build1	arm64
libgraphite2-3	1.3.14-11ubuntu1.1	arm64
libgssapi-krb5-2	1.22.1-2ubuntu4.1	arm64
libharfbuzz0b	12.3.2-2	arm64
libhogweed6t64	3.10.2-1	arm64
libidn2-0	2.3.8-4build1	arm64
libimagequant0	4.4.1-1	arm64
libjansson4	2.14-2build4	arm64
